user_id,name,email,phone,avatar,avatar_url,info,password
257aea5e-0ace-42be-86a4-b3dc0046f6ae,_©·å©,nmao@example.net,18710453182,https://dummyimage.com/540x123,https://picsum.photos/747/968,,wX$F2Jiy+S
a59d138a-e741-437c-a724-fc765a5da479,_¢å»º_,yanyang@example.net,13647695294,https://placekitten.com/52/842,https://picsum.photos/334/725,,#Mi&tU52j8
ba05a7bd-08a9-44e3-9230-2d9de2bc0f1f,é«__,qiang19@example.com,18254737920,https://picsum.photos/328/531,https://dummyimage.com/687x123,,nB2MnUKHU(
e9e3686f-8d04-467d-a565-5302c54bf2ed,__,weiguiying@example.com,13666882669,https://dummyimage.com/128x766,https://placekitten.com/561/720,,SGs#B2Se4J
dae4b19d-a753-48e3-9111-cda3856a5152,å¸³°,mshi@example.com,18538834068,https://picsum.photos/379/989,https://dummyimage.com/264x732,,&Sz8mg)vz9
6da5286a-3380-4445-a1c4-2b176c144acb,æ¢_äº,gangfu@example.org,15034267458,https://dummyimage.com/633x340,https://picsum.photos/14/758,,9!27eGiO*L
b4d8dd9d-5f0c-4932-b2af-90b808ac1745,_¢æ_,xsong@example.com,15080207579,https://placekitten.com/656/167,https://picsum.photos/91/638,,&14FBA$h7)
f204f7ad-be43-438d-8462-446e36279ddd,è°¢å»ºå¹,xia84@example.org,18215316136,https://placekitten.com/914/159,https://placekitten.com/332/906,,055AVfww!x
353bb320-eda7-4d6a-a989-77a438a558fd,ä½__,sbai@example.com,13561285737,https://placekitten.com/311/598,https://dummyimage.com/434x519,,8ZcP8Z&qn$
8997dc07-e5f2-466a-a737-a4f34c6b7ba0,èµµè_,xiaojuan@example.com,13039947094,https://picsum.photos/715/900,https://placekitten.com/373/576,,R75@AB8v!p
